//float spawnTime, int enemy index, float x-pos, float y-pos

3.0, 0, 0.0, 6.0
3.5, 0, -1.0, 6.0
3.5, 0, 1.0, 6.0
4.0, 0, -2.0, 6.0
4.0, 0, 2.0, 6.0
4.5, 0, -3.0, 6.0
4.5, 0, 3.0, 6.0

7.0, 1, -4.0, 6.0
7.4, 1, -5.0, 6.0
7.4, 1, -3.0, 6.0

9.6, 1, 2.0, 6.0
10.0, 1, 1.0, 6.0
10.0, 1, 3.0, 6.0

12.2, 1, -2.0, 6.0
12.6, 1, -3.0, 6.0
12.6, 1, -1.0, 6.0

14.8, 1, 4.0, 6.0
15.2, 1, 3.0, 6.0
15.2, 1, 5.0, 6.0

19.0, 0, -3.0, 6.0
19.0, 0, -1.0, 6.0
19.0, 0, 1.0, 6.0
19.0, 0, 3.0, 6.0
20.0, 1, -2.0, 6.0
20.0, 1, 0.0, 6.0
20.0, 1, 2.0, 6.0

25.0, 3, 3.0, 6.0
25.4, 2, -3.0, 6.0
25.8, 3, 3.0, 6.0
26.2, 2, -3.0, 6.0
26.6, 3, 3.0, 6.0
27.0, 2, -3.0, 6.0
27.4, 3, 3.0, 6.0
27.8, 2, -3.0, 6.0
28.2, 3, 3.0, 6.0
28.6, 2, -3.0, 6.0

30.0, 4, -10.0, 3.0
30.0, 5, 10.0, 2.0
30.5, 4, -10.0, 3.0
30.5, 5, 10.0, 2.0
31.0, 4, -10.0, 3.0
31.0, 5, 10.0, 2.0
31.5, 4, -10.0, 3.0
31.5, 5, 10.0, 2.0
32.0, 4, -10.0, 3.0
32.0, 5, 10.0, 2.0
32.5, 4, -10.0, 3.0
32.5, 5, 10.0, 2.0

36.0, 6, 4.5, 6.0
36.0, 6, 5.5, 6.0
36.6, 6, -3.5, 6.0
36.6, 6, -2.5, 6.0
36.8, 6, 1.5, 6.0
36.8, 6, 2.5, 6.0
37.2, 6, -1.5, 6.0
37.2, 6, -0.5, 6.0
37.5, 6, -4.5, 6.0
37.5, 6, -3.5, 6.0
38.0, 6, 2.5, 6.0
38.0, 6, 3.5, 6.0
38.4, 6, -2.5, 6.0
38.4, 6, -1.5, 6.0
38.6, 6, -0.5, 6.0
38.6, 6, 0.5, 6.0
39.2, 6, -5.5, 6.0
39.2, 6, -4.5, 6.0
39.6, 6, 0.5, 6.0
39.6, 6, 1.5, 6.0
40.0, 6, 3.5, 6.0
40.0, 6, 4.5, 6.0

