//float spawnTime, int enemy index, float x-pos, float y-pos

3.0, 0, -4.0, 6.0
4.0, 0, -3.0, 6.0
4.5, 0, -2.0, 6.0
5.0, 0, -1.0, 6.0
6.0, 0, 4.0, 6.0
7.0, 0, 3.0, 6.0
7.5, 0, 2.0, 6.0
8.0, 0, 1.0, 6.0

15.0, 1, -3.0, 6.0
17.0, 2, 3.5, 6.0
17.4, 2, 3.4, 6.0
17.8, 2, 3.3, 6.0
18.2, 2, 3.2, 6.0
18.6, 2, 3.1, 6.0
19.0, 2, 3.0, 6.0
19.4, 2, 2.9, 6.0
19.8, 2, 2.8, 6.0
20.2, 2, 2.7, 6.0
20.6, 2, 2.6, 6.0
21.0, 2, 2.5, 6.0

23.0, 1, 3.0, 6.0
25.0, 2, -3.5, 6.0
25.4, 2, -3.4, 6.0
25.8, 2, -3.3, 6.0
26.2, 2, -3.2, 6.0
26.6, 2, -3.1, 6.0
27.0, 2, -3.0, 6.0
27.4, 2, -2.9, 6.0
27.8, 2, -2.8, 6.0
28.2, 2, -2.7, 6.0
28.6, 2, -2.6, 6.0
29.0, 2, -2.5, 6.0

31.0, 3, 0.0, 6.0
31.8, 3, 0.4, 6.0
32.0, 3, 0.8, 6.0
32.7, 3, 1.2, 6.0
33.0, 3, 1.6, 6.0
33.6, 3, 2.0, 6.0
34.0, 3, 2.4, 6.0
34.5, 3, 2.8, 6.0
35.0, 3, 3.2, 6.0
35.4, 3, 3.6, 6.0
36.0, 3, 4.0, 6.0
36.3, 3, 4.4, 6.0
37.0, 3, 4.8, 6.0
37.2, 3, 5.2, 6.0
38.0, 3, 5.6, 6.0

41.0, 4, 10.0, 3.0
41.3, 4, 10.0, 3.1
41.6, 4, 10.0, 3.0
41.9, 4, 10.0, 2.9
42.2, 4, 10.0, 3.0
42.5, 4, 10.0, 3.1
42.8, 4, 10.0, 3.0
43.1, 4, 10.0, 2.9
