//float spawnTime, int enemy index, float x-pos, float y-pos

3.0, 0, -3.0, 6.0
3.1, 0, -4.0, 6.0
3.2, 0, -3.0, 6.0
3.3, 0, -1.5, 6.0
3.4, 0, -2.0, 6.0
3.5, 0, -3.5, 6.0
3.6, 0, -3.0, 6.0
3.7, 0, -4.5, 6.0
3.8, 0, -4.0, 6.0
3.9, 0, -2.0, 6.0
4.0, 0, -2.5, 6.0
7.0, 0, 2.5, 6.0
7.1, 0, 4.0, 6.0
7.2, 0, 5.0, 6.0
7.3, 0, 3.5, 6.0
7.4, 0, 3.0, 6.0
7.5, 0, 4.5, 6.0
7.6, 0, 5.0, 6.0
7.7, 0, 5.5, 6.0
7.8, 0, 4.0, 6.0
7.9, 0, 2.0, 6.0
8.0, 0, 1.5, 6.0

12.0, 1, 3.0, 6.0
13.0, 1, -3.0, 6.0

22.0, 2, 0.5, 6.0
22.6, 2, 0.5, 6.1
23.2, 2, 0.5, 6.2
23.8, 2, 0.5, 6.3
24.4, 2, 0.5, 6.4
25.0, 2, 0.5, 6.5
27.0, 2, -0.5, 6.0
27.6, 2, -0.5, 6.1
28.2, 2, -0.5, 6.2
28.8, 2, -0.5, 6.3
29.2, 2, -0.5, 6.4
30.0, 2, -0.5, 6.5

31.0, 3, -10.0, 3.0
31.2, 3, -10.0, 3.0
31.4, 3, -10.0, 3.0
31.6, 3, -10.0, 3.0
31.8, 3, -10.0, 3.0
32.0, 3, -10.0, 3.0
32.2, 3, -10.0, 3.0
32.4, 3, -10.0, 3.0
32.6, 3, -10.0, 3.0
32.8, 3, -10.0, 3.0
33.0, 3, -10.0, 3.0
33.2, 3, -10.0, 3.0
33.4, 3, -10.0, 3.0
33.6, 3, -10.0, 3.0
33.8, 3, -10.0, 3.0
34.0, 3, -10.0, 3.0
34.2, 3, -10.0, 3.0
34.4, 3, -10.0, 3.0
34.6, 3, -10.0, 3.0
34.8, 3, -10.0, 3.0
35.0, 3, -10.0, 3.0
37.0, 4, 6.0, 6.0

45.0, 5, -1.0, 6.0
45.8, 5, -1.6, 6.0
46.6, 5, -2.2, 6.0
47.0, 0, 4.0, 6.0
47.4, 5, -2.8, 6.0
47.8, 0, 4.0, 6.0
48.2, 5, -3.4, 6.0
48.6, 0, 4.0, 6.0
49.0, 5, -4.0, 6.0
49.4, 0, 4.0, 6.0
50.2, 0, 4.0, 6.0
51.0, 0, 4.0, 6.0

55.0, 6, 0.0, 6.0

57.0, 2, -2.0, 6.0
57.5, 2, -1.7, 6.0
58.0, 2, -1.4, 6.0
58.5, 2, -1.1, 6.0
59.0, 2, -0.8, 6.0
59.5, 2, -0.5, 6.0
60.0, 7, -4.0, 7.0
60.5, 2, 2.0, 6.0
60.8, 7, -4.0, 7.0
61.0, 2, 1.7, 6.0
61.5, 2, 1.4, 6.0
61.6, 7, -4.0, 7.0
62.0, 2, 1.1, 6.0
62.4, 7, -4.0, 7.0
62.5, 2, 0.8, 6.0
63.0, 2, 0.5, 6.0
63.2, 7, -4.0, 7.0
64.0, 7, -4.0, 7.0

66.0, 8, 4.0, 6.0
66.8, 8, -4.0, 6.0
67.6, 8, 4.0, 6.0
68.4, 8, -4.0, 6.0
69.2, 8, 4.0, 6.0
70.0, 8, -4.0, 6.0
70.8, 8, 4.0, 6.0
71.6, 8, -4.0, 6.0

73.0, 3, -10.0, 3.0
73.2, 3, -10.0, 3.0
73.4, 3, -10.0, 3.0
73.6, 3, -10.0, 3.0
73.8, 3, -10.0, 3.0
74.0, 3, -10.0, 3.0
74.2, 3, -10.0, 3.0
74.4, 3, -10.0, 3.0
74.6, 3, -10.0, 3.0
74.8, 3, -10.0, 3.0
75.0, 3, -10.0, 3.0

77.0, 4, -8.0, 6.0
78.0, 4, 8.0, 6.0
